2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:58:45,692 p=28216 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 12:58:45,692 p=28216 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 12:59:15,733 p=28815 u=rob n=p=28815 u=rob | paramiko [PE2] | Exception (client): Error reading SSH protocol banner
2023-02-24 12:59:15,733 p=28814 u=rob n=p=28814 u=rob | paramiko [PE1] | Exception (client): Error reading SSH protocol banner
2023-02-24 12:59:15,736 p=28816 u=rob n=p=28816 u=rob | paramiko [PE3] | Exception (client): Error reading SSH protocol banner
2023-02-24 12:59:15,737 p=28815 u=rob n=p=28815 u=rob | paramiko [PE2] | Traceback (most recent call last):
2023-02-24 12:59:15,737 p=28814 u=rob n=p=28814 u=rob | paramiko [PE1] | Traceback (most recent call last):
2023-02-24 12:59:15,737 p=28815 u=rob n=p=28815 u=rob | paramiko [PE2] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 12:59:15,737 p=28814 u=rob n=p=28814 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 12:59:15,737 p=28815 u=rob n=p=28815 u=rob | paramiko [PE2] |     buf = self.packetizer.readline(timeout)
2023-02-24 12:59:15,737 p=28814 u=rob n=p=28814 u=rob | paramiko [PE1] |     buf = self.packetizer.readline(timeout)
2023-02-24 12:59:15,737 p=28815 u=rob n=p=28815 u=rob | paramiko [PE2] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
